<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
INDEX.CSI300,D,20210104,190000,5212.9313,5284.3687,5190.9995,5267.7181,2429
INDEX.CSI300,D,20210105,190000,5245.8355,5368.5049,5234.3838,5368.5049,2772
INDEX.CSI300,D,20210106,190000,5386.5144,5433.4694,5341.7409,5417.6677,2999
INDEX.CSI300,D,20210107,190000,5428.3944,5513.6568,5413.7121,5513.6568,2326
INDEX.CSI300,D,20210108,190000,5526.2876,5546.5955,5442.6939,5495.4306,2292
INDEX.CSI300,D,20210111,190000,5504.2358,5555.6916,5412.5046,5441.1583,2874
INDEX.CSI300,D,20210112,190000,5419.4996,5596.3525,5417.6272,5596.3525,2915
INDEX.CSI300,D,20210113,190000,5609.2637,5644.7195,5535.3828,5577.9711,2929
INDEX.CSI300,D,20210114,190000,5556.2125,5566.9991,5458.6818,5470.4563,2567
INDEX.CSI300,D,20210115,190000,5471.391,5500.5344,5390.3148,5458.0812,2435
INDEX.CSI300,D,20210118,190000,5438.1618,5541.4613,5410.9208,5518.5205,2771
INDEX.CSI300,D,20210119,190000,5525.969,5532.0759,5416.1066,5437.5234,2416
INDEX.CSI300,D,20210120,190000,5439.9111,5495.9311,5426.6962,5476.4336,2510
INDEX.CSI300,D,20210121,190000,5492.9587,5592.9696,5490.9415,5564.9693,2331
INDEX.CSI300,D,20210122,190000,5562.379,5573.6256,5513.8769,5569.776,2940
INDEX.CSI300,D,20210125,190000,5564.1237,5655.4286,5543.4347,5625.9232,2365
INDEX.CSI300,D,20210126,190000,5600.9017,5600.9017,5506.2201,5512.9678,2519
INDEX.CSI300,D,20210127,190000,5505.7708,5534.9928,5449.6385,5528.0034,2707
INDEX.CSI300,D,20210128,190000,5450.3695,5461.95,5361.0681,5377.1427,2786
INDEX.CSI300,D,20210129,190000,5413.9684,5430.2015,5288.0955,5351.9646,2556
INDEX.CSI300,D,20210201,190000,5356.8535,5422.299,5342.1498,5417.6484,2909
INDEX.CSI300,D,20210202,190000,5429.7032,5502.9989,5411.5759,5501.0915,2836
INDEX.CSI300,D,20210203,190000,5499.2961,5532.6159,5473.1689,5485.2008,2820
INDEX.CSI300,D,20210204,190000,5453.9764,5510.0535,5411.7893,5473.9475,2850
INDEX.CSI300,D,20210205,190000,5494.7011,5550.7687,5477.8315,5483.414,2920
INDEX.CSI300,D,20210208,190000,5506.1423,5576.4908,5479.9076,5564.5618,2638
INDEX.CSI300,D,20210209,190000,5584.165,5686.2502,5555.0537,5686.2502,2601
INDEX.CSI300,D,20210210,190000,5709.684,5823.3053,5707.3295,5807.7191,2382
INDEX.CSI300,D,20210218,190000,5922.0714,5930.8375,5747.6631,5768.3814,2884
INDEX.CSI300,D,20210219,190000,5734.0193,5787.8111,5667.6283,5778.842,2875
INDEX.CSI300,D,20210222,190000,5785.5097,5785.5097,5597.3327,5597.3327,2605
INDEX.CSI300,D,20210223,190000,5542.6841,5644.5355,5541.1092,5579.6681,2862
